Row,Actual Class,Risk Tier,Risk Score,Entry Allowed,Collateral
0,0,low,13.16,True,1000.0
1,0,low,4.64,True,1000.0
2,0,low,5.12,True,1000.0
3,0,low,2.15,True,1000.0
4,0,low,4.79,True,1000.0
5,0,low,18.37,True,1000.0
6,0,low,4.2,True,1000.0
7,1,critical,91.46,False,0.0
8,0,low,7.41,True,1000.0
9,1,critical,89.09,False,0.0
10,0,low,10.45,True,1000.0
11,0,low,4.11,True,1000.0
12,1,critical,95.17,False,0.0
13,0,low,5.24,True,1000.0
14,0,low,6.37,True,1000.0
15,1,critical,88.23,False,0.0
16,1,critical,89.26,False,0.0
17,0,low,9.88,True,1000.0
18,1,critical,93.49,False,0.0
19,0,low,8.94,True,1000.0
20,0,low,5.72,True,1000.0
21,0,low,8.2,True,1000.0
22,0,low,14.67,True,1000.0
23,0,low,23.06,True,1000.0
24,0,low,5.06,True,1000.0
25,0,low,17.02,True,1000.0
26,0,low,5.51,True,1000.0
27,0,low,10.18,True,1000.0
28,0,low,4.23,True,1000.0
29,0,low,15.57,True,1000.0
30,0,low,3.51,True,1000.0
31,0,low,7.02,True,1000.0
32,0,low,15.9,True,1000.0
33,0,low,5.87,True,1000.0
34,0,low,11.65,True,1000.0
35,0,low,1.63,True,1000.0
36,0,low,6.58,True,1000.0
37,0,low,6.83,True,1000.0
38,0,low,1.21,True,1000.0
39,0,low,27.01,True,1000.0
40,0,low,2.46,True,1000.0
41,0,low,2.49,True,1000.0
42,0,low,12.23,True,1000.0
43,0,low,12.82,True,1000.0
44,0,low,9.16,True,1000.0
45,0,low,6.96,True,1000.0
46,0,low,4.52,True,1000.0
47,0,low,8.68,True,1000.0
48,0,low,14.02,True,1000.0
49,0,low,6.89,True,1000.0
50,0,low,2.13,True,1000.0
51,0,low,12.63,True,1000.0
52,0,low,12.69,True,1000.0
53,0,low,17.73,True,1000.0
54,0,low,4.87,True,1000.0
55,0,low,20.59,True,1000.0
56,0,low,9.56,True,1000.0
57,0,low,12.94,True,1000.0
58,0,low,6.84,True,1000.0
59,0,low,7.94,True,1000.0
60,0,low,9.69,True,1000.0
61,0,low,12.92,True,1000.0
62,0,low,30.78,True,1000.0
63,0,low,6.53,True,1000.0
64,0,low,24.59,True,1000.0
65,0,low,5.3,True,1000.0
66,0,low,4.91,True,1000.0
67,0,low,8.08,True,1000.0
68,0,low,3.26,True,1000.0
69,0,low,3.14,True,1000.0
70,0,low,15.55,True,1000.0
71,0,low,3.83,True,1000.0
72,0,low,0.83,True,1000.0
73,0,low,7.75,True,1000.0
74,0,low,34.42,True,1000.0
75,0,low,13.51,True,1000.0
76,0,low,8.15,True,1000.0
77,0,low,7.92,True,1000.0
78,0,low,4.89,True,1000.0
79,1,critical,92.06,False,0.0
80,0,low,9.88,True,1000.0
81,0,low,6.6,True,1000.0
82,0,low,12.38,True,1000.0
83,0,low,19.75,True,1000.0
84,0,low,10.54,True,1000.0
85,0,low,8.4,True,1000.0
86,0,low,15.88,True,1000.0
87,0,low,6.42,True,1000.0
88,0,low,5.59,True,1000.0
89,1,critical,81.9,False,0.0
90,0,low,8.59,True,1000.0
91,0,low,7.88,True,1000.0
92,0,low,4.93,True,1000.0
